,tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
25,58223,SAU,AST,2014,,50,X,2016,LIC,MMV,AV,APC,,50,X,2015-2016,Saudi Arabia,Austria,N,0.14,7,7
92,58865,SAU,BEL,2014,,119,,0,VIA,Cockerill-3105 105mm,OT,tank turret,L,45,X,2019-2021,Saudi Arabia,Belgium,N,0.8,95.2,36
93,51518,SAU,BEL,2009,X,84,,2014,N/A,LCTS-90 90mm,OT,tank turret,L,84,X,2011-2014,Saudi Arabia,Belgium,N,0.7,58.8,58.8
94,58866,SAU,BEL,2014,,119,X,2021,N/A,MCT,OT,IFV turret,,97,X,2019-2021,Saudi Arabia,Belgium,N,0.7,83.3,67.9
150,58195,SAU,BRA,2014,,10,X,2016,N/A,ASTROS-2000,AR,self-propelled MRL,L,10,X,2016,Saudi Arabia,Brazil,N,1.1,11,11
177,60967,SAU,BUL,2016,,24,,2017,N/A,BTR-60P,AV,APC,L,24,,2016-2017,Saudi Arabia,Bulgaria,S,0.088,2.112,2.112
178,60971,SAU,BUL,2015,,2200,X,2017,N/A,Fagot,MI,anti-tank missile,L,2200,X,2015-2017,Saudi Arabia,Bulgaria,N,0.01,22,22
269,59815,SAU,CAN,2013,,70,X,2016,POLI,Gurkha,AV,APV,L,70,X,2014-2016,Saudi Arabia,Canada,N,0.16,11.2,11.2
270,61859,SAU,CAN,2016,X,89,X,2018,POLI,Gurkha,AV,APV,L,89,X,2017-2018,Saudi Arabia,Canada,N,0.16,14.24,14.24
271,31644,SAU,CAN,2014,,385,,0,N/A,LAV-700,AV,APC,,330,X,2018-2021,Saudi Arabia,Canada,N,0.4,154,132
272,61711,SAU,CAN,2014,,119,,0,N/A,LAV-700 AT,AV,tank destroyer,,37,X,2018-2021,Saudi Arabia,Canada,N,0.65,77.35,24.05
273,61710,SAU,CAN,2014,,119,,0,N/A,LAV-700 FSV,AV,AFSV,,45,X,2019-2021,Saudi Arabia,Canada,N,1.8,214.2,81
274,61709,SAU,CAN,2014,,119,,0,N/A,LAV-700 IFV,AV,IFV,,97,X,2019-2021,Saudi Arabia,Canada,N,0.4,47.6,38.8
275,50697,SAU,CAN,2009,,724,,2015,N/A,Piranha,AV,APC,L,724,X,2011-2015,Saudi Arabia,Canada,N,0.26,188.24,188.24
276,53566,SAU,CAN,2011,,155,,2015,N/A,Piranha,AV,APC,L,155,X,2015,Saudi Arabia,Canada,N,0.26,40.3,40.3
277,54806,SAU,CAN,2012,,55,X,2016,N/A,PT6,EN,turboprop/turboshaft,L,55,X,2014-2016,Saudi Arabia,Canada,N,0.5,27.5,27.5
278,59466,SAU,CAN,2015,,8,X,2018,N/A,PW100,EN,turboprop/turboshaft,L,8,,2015-2018,Saudi Arabia,Canada,N,1,8,8
543,59476,SAU,CHI,2014,X,5,X,2015,N/A,CH-4B,AC,armed UAV,,5,X,2015,Saudi Arabia,China,N,4,20,20
544,57183,SAU,CHI,2014,X,15,X,2017,N/A,Wing Loong-1,AC,armed uav,L,15,X,2015-2017,Saudi Arabia,China,N,3,45,45
545,61358,SAU,CHI,2017,,50,X,0,N/A,Wing Loong-2,AC,armed uav,,45,X,2017-2021,Saudi Arabia,China,N,4,200,180
737,51517,SAU,FIN,2011,X,36,,2015,N/A,NEMO 120mm,AR,mortar turret,L,36,X,2012-2015,Saudi Arabia,Finland,N,0.6,21.6,21.6
1002,51049,SAU,FRA,2009,,3,,2015,VIA,A-330 MRTT,AC,tanker/transport ac,L,3,,2014-2015,Saudi Arabia,France,N,98,294,294
1003,54540,SAU,FRA,2011,,73,X,2015,N/A,Aravis,AV,APC,L,73,X,2013-2015,Saudi Arabia,France,N,0.28,20.44,20.44
1004,54542,SAU,FRA,2012,,191,,2016,N/A,Aravis,AV,APC,L,191,X,2015-2016,Saudi Arabia,France,N,0.28,53.48,53.48
1005,62010,SAU,FRA,2013,X,500,X,2018,N/A,ARIVE,AV,APC,,500,X,2016-2018,Saudi Arabia,France,N,0.21,105,105
1006,63572,SAU,FRA,2019,X,7,,2020,N/A,AS-532 Cougar/AS-332,AC,transport helicopter,L,7,X,2020,Saudi Arabia,France,N,7.25,50.75,50.75
1007,61145,SAU,FRA,2015,X,71,X,2016,N/A,Bastion,AV,APC/APV,L,71,X,2016,Saudi Arabia,France,N,0.16,11.36,11.36
1008,55235,SAU,FRA,2011,,32,,2015,ASS,CAESAR 155mm,AR,self-propelled gun,,32,X,2013-2015,Saudi Arabia,France,N,1.06,33.92,33.92
1009,61988,SAU,FRA,2018,,24,,2018,N/A,CAESAR 155mm,AR,self-propelled gun,,24,X,2018,Saudi Arabia,France,N,1.06,25.44,25.44
1010,60478,SAU,FRA,2014,X,4,X,2019,N/A,COBRA,GR,arty locating radar,L,4,X,2019,Saudi Arabia,France,N,10,40,40
1011,50110,SAU,FRA,2007,X,60,X,2017,ASS,Damocles,GR,aircraft EO system,L,60,X,2009-2017,Saudi Arabia,France,N,1,60,60
1012,59029,SAU,FRA,2015,,10,X,2019,N/A,FLASH,GR,ASW sonar,L,10,X,2018-2019,Saudi Arabia,France,N,1.9,19,19
1013,55203,SAU,FRA,2011,,20,X,2015,N/A,Ground Master-60,GR,air search radar,L,20,X,2013-2015,Saudi Arabia,France,N,7.5,150,150
1014,61773,SAU,FRA,2018,,39,,0,LIC,HSI-32,SH,patrol craft,L,30,X,2020-2021,Saudi Arabia,France,N,5,195,150
