"TIV of arms exports to Saudi Arabia, 2000-2021",,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 11 February 2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Austria,,,,,,,,,,,2,,,,,4,4,,,,,,9
Belgium,1,14,14,15,47,,7,,,,,7,21,21,10,,,,,55,24,26,261
Brazil,,,,,,,,,,,,,,,,,11,,,,,,11
Bulgaria,,,,,,,,,,,,,,,,8,1,15,,,,,24
Canada,20,6,5,5,17,,8,12,10,3,,33,40,34,43,108,11,10,51,135,45,55,653
China,,,,,,,,,36,36,,,,,,35,15,35,40,40,40,40,318
Finland,,,,,,,,,,,,,4,4,7,7,,,,,,,22
France,25,7,374,29,761,1,4,26,25,31,89,182,221,53,267,357,77,115,147,222,195,90,3296
Georgia,,,,,,,,,,,,,,,,,6,7,,,,,13
Germany,1,1,1,1,1,1,,,,,12,73,79,80,63,2,16,121,140,,,,591
Italy,,,83,,6,,,15,15,15,,,1,,,89,89,48,,,,,360
Netherlands,,,,,,,,,,,,13,25,25,25,25,,,,,,,113
Pakistan,,,,,,4,,,,,,,,,,,,,,,,,4
Russia,,,,,,,,,,,,,,,,,,,,12,,,12
Serbia,,,,,,,,,,,,,,,,4,17,2,,,,,23
Slovakia,,,,,,,,,,,,,,1,0,3,3,,,1,1,,9
South Africa,,,,,,,6,7,1,,,4,,,1,5,2,7,1,3,3,,39
South Korea,,,,,,,,,,,,,,,,,,,3,,,,3
Spain,,,,,,,,,,,,,,,,12,,12,43,,20,,87
Sweden,,,,,,,,,,,3,3,,,160,,1,,,,,,167
Switzerland,,,,,,,,,,10,40,40,,,83,142,44,,,10,,,370
Turkey,,,,,15,8,8,20,26,26,29,33,33,44,39,52,39,13,,,5,5,393
Ukraine,,,,,,,,,,,,,,,,,,,28,56,,,84
United Kingdom,35,,,,,,,,29,458,550,438,216,746,615,751,858,425,61,85,60,120,5446
United States,3,33,89,117,324,152,171,150,248,244,367,397,394,608,1426,1774,1767,3118,2752,2866,2151,1389,20539
,,,,,,,,,,,,,,,,,,,,,,,,
Total,85,61,567,167,1170,166,205,230,391,824,1092,1222,1033,1614,2740,3377,2961,3929,3266,3485,2543,1723,32849
